umap_x,umap_y
6.307569,10.381334
6.9320517,6.2365627
11.2159395,8.387337
7.5126324,-8.052713
12.702332,2.9997761
7.1465387,10.776004
7.8108363,11.051859
4.731499,3.4473457
11.09524,9.355685
6.093202,-7.944995
5.5270705,10.5141
11.456049,8.676836
7.660494,-7.0438676
3.9234874,4.5189934
5.189484,8.00858
11.886426,8.651513
6.8513117,-0.37759387
6.9502835,1.0575541
6.7770867,3.1013274
10.359389,7.3157353
4.831564,19.600336
6.1844096,12.037134
22.374035,1.7709391
5.7531524,3.3361804
10.970955,9.254598
7.168816,7.6761217
9.1626625,4.5637336
7.3447237,0.19060987
6.512813,19.839668
3.8161752,3.9966142
9.026667,-8.304159
4.0256224,-1.2943425
7.049752,-7.9287386
6.94789,1.1891057
7.625125,-8.287637
9.619092,10.058481
4.075804,7.5594335
0.16835569,-3.8343894
22.525164,1.9711678
0.16901235,-3.8407204
5.958539,10.699649
7.400351,-8.018497
18.171381,4.1100836
5.8402286,3.7677488
7.5852523,3.2744052
13.562222,3.0422726
5.7258396,11.775747
18.111807,4.0859632
10.474415,8.177748
7.108149,12.029271
6.9824896,0.23103395
6.3780923,19.626253
8.175592,-7.1665936
7.5503097,6.784721
6.826859,0.10703005
6.5799103,-8.483825
17.745937,3.9834228
17.008966,4.0267534
4.9974527,3.587644
3.984183,7.6819515
23.440575,2.2797966
6.300245,-1.144701
7.1647067,-6.816931
6.2744584,8.4526
8.286888,10.827747
6.026739,20.291288
7.642159,5.7421384
6.9316483,-7.946831
11.158992,9.144455
7.7665997,12.924549
6.6369605,6.826804
10.6595335,7.9590592
6.294756,4.6024785
8.940103,-8.410502
5.5320387,-1.3459901
4.9341125,19.68414
5.4420667,2.7990482
8.496541,2.7679546
8.479938,7.283704
6.3817973,-7.849857
9.878352,2.9357123
6.608405,3.181063
8.570364,7.4592533
5.8118944,11.20844
8.390827,2.703623
7.6849055,12.558686
8.482156,7.998517
18.062826,4.3363934
7.5610695,11.465573
3.9210594,3.8875446
7.1697116,12.4062395
3.1224246,-1.1945553
3.743517,4.025631
9.16438,2.5119648
12.374471,3.2724068
7.6278663,1.2744998
4.529324,19.47531
8.412087,8.216676
4.4870567,3.6546867
7.176479,10.674851
9.087733,6.1174154
5.526306,-0.2842248
7.2306805,8.025761
11.282703,9.281535
8.351266,6.8517017
4.064573,3.6320865
2.223628,5.122082
7.2865777,10.205471
4.234658,-1.2745116
11.567783,3.4523084
8.510433,8.094644
5.9966555,3.551745
4.992174,5.036021
7.6954284,9.677904
6.563155,5.999695
-6.7183013,5.0131326
6.838814,11.88785
7.829421,0.9805205
7.6275635,-8.167227
6.1892724,20.957956
6.59341,20.183527
8.31904,5.0747576
7.137729,11.14446
7.6105423,12.061634
7.5726314,11.164706
6.391566,8.232623
7.6490445,9.936064
21.760283,1.0099301
5.8714337,12.195718
6.215841,20.857035
6.2414412,12.118157
9.737521,2.9688687
4.8750796,7.2191873
5.428627,3.4532862
4.743315,19.509382
5.684302,3.935081
8.591255,3.878886
8.500992,-8.156047
8.015109,0.62176037
8.94938,5.663401
7.757954,12.9141445
4.5715322,3.6137266
4.3259587,-0.22118069
9.263591,-8.603004
6.982098,-0.537973
9.261542,7.8420563
10.203329,8.034441
5.609954,-1.2938381
5.913811,10.335438
3.2524042,5.0472336
22.372112,2.1144552
5.7581387,4.7108126
4.4023595,7.368358
3.3269713,4.408455
7.553968,3.4781456
3.8860216,3.9000597
2.7454624,4.6111736
7.7371716,4.667358
8.2404585,2.7793028
4.450018,5.1076026
5.781248,10.436494
7.3839765,2.2624078
7.20967,-7.88149
6.783895,1.6922907
7.3808017,6.0411873
8.86114,-8.347384
7.2392287,0.46183994
17.48589,3.974044
8.639586,7.3553605
6.26062,4.8154116
9.188911,4.844232
7.8977766,4.8011785
6.754283,0.0656579
11.068174,8.414229
11.489112,9.332521
6.029345,11.64348
8.044874,11.401855
